rapportagedatum,totale_omzet,lag_1d,lag_7d,lag_14d,lag_28d,rolling_mean_7d,rolling_mean_28d,weekday,month,week,year,quarter,day_of_year,weekday_sin,weekday_cos,month_sin,month_cos,week_sin,week_cos,is_weekend,is_monday,is_friday,is_voorjaarvakantie,is_meivakantie,is_zomervakantie,is_herfstvakantie,is_kerstvakantie,is_schoolvakantie,is_feestdag,is_dag_na_feestdag,cumulative_revenue_ytd,contractual_consumption_rate,time_index
2023-02-18,131836.05,415861.88,126485.52,131436.77,127025.5,386713.2528571429,384726.22285714286,5,2,7,2023,1,49,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,0.7485107481711011,0.6631226582407953,1,0,0,0,0,0,0,0,0,0,0,18613290.990000002,0.12906950939960293,413
2023-02-19,130462.48,131836.05,129739.99,129199.46,127738.02,387477.6142857143,384898.02821428573,6,2,7,2023,1,50,-0.7818314824680299,0.6234898018587334,0.8660254037844386,0.5000000000000001,0.7485107481711011,0.6631226582407953,1,0,0,0,0,0,0,0,0,0,0,18743753.47,0.12997417092870608,414
2023-02-20,487584.22,130462.48,504615.51,497386.36,486277.77,387580.82714285713,384995.33035714284,0,2,8,2023,1,51,0.0,1.0,0.8660254037844386,0.5000000000000001,0.8229838658936564,0.5680647467311559,0,1,0,0,0,0,0,0,0,0,0,19231337.69,0.13335520956933114,415
2023-02-21,530416.48,487584.22,551102.15,546986.12,553670.05,385147.78571428574,385041.9892857143,1,2,8,2023,1,52,0.7818314824680298,0.6234898018587336,0.8660254037844386,0.5000000000000001,0.8229838658936564,0.5680647467311559,0,0,0,0,0,0,0,0,0,0,0,19761754.17,0.1370332584908166,416
2023-02-22,458498.87,530416.48,455229.63,470059.32,455051.73,382192.69,384211.5046428571,2,2,8,2023,1,53,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,0.8229838658936564,0.5680647467311559,0,0,0,0,0,0,0,0,0,0,0,20220253.04,0.14021261158012066,417
2023-02-23,503548.96,458498.87,523958.09,525304.68,526489.04,382659.7242857143,384334.61678571434,3,2,8,2023,1,54,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,0.8229838658936564,0.5680647467311559,0,0,0,0,0,0,0,0,0,0,0,20723802.0,0.1437043539732739,418
2023-02-24,383509.3,503548.96,415861.88,413614.03,403055.02,379744.1342857143,383515.3282142857,4,2,8,2023,1,55,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,0.8229838658936564,0.5680647467311559,0,0,1,0,0,0,0,0,0,0,0,21107311.3,0.1463637094428563,419
2023-02-25,127185.04,383509.3,131836.05,126485.52,124744.12,375122.33714285714,382817.2667857143,5,2,8,2023,1,56,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,0.8229838658936564,0.5680647467311559,1,0,0,1,0,0,0,0,1,0,0,21234496.34,0.14724564433145756,420
2023-02-26,129103.6,127185.04,130462.48,129739.99,133658.71,374457.9071428571,382904.4425,6,2,8,2023,1,57,-0.7818314824680299,0.6234898018587334,0.8660254037844386,0.5000000000000001,0.8229838658936564,0.5680647467311559,1,0,0,1,0,0,0,0,1,0,0,21363599.94,0.14814088302528527,421
2023-02-27,451619.49,129103.6,487584.22,504615.51,471478.16,374263.7814285714,382741.75999999995,0,2,9,2023,1,58,0.0,1.0,0.8660254037844386,0.5000000000000001,0.8854560256532099,0.4647231720437686,0,1,0,1,0,0,0,0,1,0,0,21815219.43,0.15127253266429405,422
